personid,firstname,lastname,email,dob,address,majors,rownum,rownumber
38105ca3-9f4c-435a-898d-6cdef0b086f4,Alice,Brown,alice.brown@example.com,1996-12-08,"809 Cedar St, Georgetown, OH","Biology, Agriculture, Mechanical Engineering, Health Science",207,2
79225937-734a-40bc-bc2f-cb925ef47945,Alice,Brown,alice.brown@example.com,1956-12-28,"295 Spruce St, Georgetown, OH","Business Administration, Music, Finance, Political Science",279,3
a05ab7d2-0d52-492f-9a68-fdd9c4e90dc6,Alice,Brown,alice.brown@example.com,1951-10-25,"626 Elm St, Salem, FL","Physics, Veterinary Medicine",325,4
7bc39649-5227-4a35-854f-4395f95a8db4,Alice,Brown,alice.brown@example.com,1951-08-15,"482 Elm St, Springfield, IL",,424,5
92cb3477-b875-49ef-9f80-5e209d220764,Alice,Brown,alice.brown@example.com,1976-02-28,"619 Birch St, Madison, TX",Music,464,6
6d2e66f3-c827-43ba-86da-992e4081c3a5,Alice,Brown,alice.brown@example.com,1960-04-16,"749 Maple St, Georgetown, TX","Public Health, Electrical Engineering, Mathematics, Marketing",639,7
ec5b0863-3d1e-485f-921c-e47dbf7af143,Alice,Brown,alice.brown@example.com,1955-02-28,"375 Cedar St, Fairview, OH",Physics,916,8
f1a84e33-5360-4391-bd2c-aa989a4129d7,Alice,Brown,alice.brown@example.com,1997-05-26,"597 Oak St, Riverside, IL",,928,9
85790af3-6e05-4699-9c73-62ab87c797bb,Alice,Brown,alice.brown@example.com,1969-06-15,"614 Elm St, Madison, TX","Physics, Biology, Business Administration, Education",1112,10
748a7e13-f71e-46aa-9e11-37103d60a4bc,Alice,Brown,alice.brown@example.com,1986-01-12,"412 Oak St, Madison, IL","Sociology, Urban Planning",1164,11
349781c4-16c3-4c2d-ae56-6f4331dc6574,Alice,Brown,alice.brown@example.com,1967-04-10,"555 Birch St, Madison, IL",,1216,12
a25d2bbc-bc39-4cc4-bbd9-7abc24f85a14,Alice,Brown,alice.brown@example.com,1978-04-21,"457 Spruce St, Fairview, CA","Agriculture, Library Science, Business Administration, Physics, Journalism",1327,13
