personid,name,email,dob,address1,city,state,majorids,bedid
0062654f-b7f9-4056-8c5b-3ef5726f5cd9,James Miller,james.miller@example.com,1972-03-15,573 Cedar St,Madison,PA,"4ff85e34-9da3-47f2-beee-ec6175d82186, b33ae65d-523e-48c6-b10e-59346e1c6523, 5d92edf2-5248-4363-8e50-f18ad6a67a8c",1d8eb8d8-5029-4fb4-a85f-004215e8333d
077ff601-fbf4-429c-94ea-ae4f266a0273,Sarah Taylor,sarah.taylor@example.com,1961-06-22,104 Cedar St,Greenville,PA,"f6cf2da9-277c-4780-8c18-2a4727d35f64, 521b6a84-52f2-488c-b310-c95ae8ff1021, dda33b53-0fff-4371-8a45-35a2192e86e8",
0851484b-c52e-4aee-a70b-db62043c7b92,Sarah Wilson,sarah.wilson@example.com,1996-08-13,436 Elm St,Salem,FL,6dfeb9a0-918b-4038-ae4f-63ab374b9311,3be41337-2781-4385-858e-d8ff593d383c
08515d01-e2e0-4f59-bc57-caa688304fe3,Emily Williams,emily.williams@example.com,1988-12-16,960 Walnut St,Riverside,NY,,
08779a04-1771-4c43-875a-7260f34ff122,Linda Williams,linda.williams@example.com,1966-11-14,876 Pine St,Georgetown,FL,"4d0b9e50-43d1-4da0-af2b-97d510bab9e2, 4d0b9e50-43d1-4da0-af2b-97d510bab9e2",7b7b2b22-c12f-49ad-973a-fa07bbfb8174
0a10e180-a33a-4d04-8519-ae951f56b478,Sarah Johnson,sarah.johnson@example.com,1999-12-18,719 Maple St,Madison,CA,"9dd4dfda-b0d2-4d4a-8642-a44db00f4a15, b33ae65d-523e-48c6-b10e-59346e1c6523, f6cf2da9-277c-4780-8c18-2a4727d35f64, 8402b4cd-a049-4ae7-8649-16af0c4c8c62, 38b9874d-dd51-433a-bea9-2ef3ec79cb21",
0d54122e-ce34-4bac-882c-1d9b1c5d1fc7,John Wilson,john.wilson@example.com,1988-11-03,545 Cedar St,Greenville,PA,"37979873-7c28-4b44-83ee-438c3e6810e9, 2390b2fb-f180-48d3-989d-5e359fdf867c, f6cf2da9-277c-4780-8c18-2a4727d35f64, cb7207d7-79d6-497f-a7e6-ceebd62576db",8b7d88ce-821c-4c27-8784-fea7977d432e
0d92bcb1-f7b2-4c94-875c-1c0c250f7aec,David Johnson,david.johnson@example.com,1983-04-03,952 Spruce St,Greenville,FL,"49150744-aac2-44f9-8ca0-05ae90757bac, 2c6e4248-da4d-4cb3-ac58-3cd04aa203fa",
0fb01c62-21b7-43fc-a631-d2fcdd949e0a,Alice Williams,alice.williams@example.com,1958-09-06,965 Birch St,Greenville,NY,39af2a17-08ce-4282-8dd0-de4efe79980f,
0fcb5492-5b97-44b2-bd87-395e2c16c0d7,Jane Brown,jane.brown@example.com,1976-12-16,255 Oak St,Madison,TX,"edca0a28-476b-4782-86be-a06806d87ab8, b33ae65d-523e-48c6-b10e-59346e1c6523, c782f52b-d7ac-47f5-836a-376e4fccf31f",
114ac99a-b2e2-4da9-844b-0bc5b5d40ec6,Sarah Brown,sarah.brown@example.com,1975-11-03,177 Oak St,Springfield,CA,"3100982d-c037-4a3f-a3ed-83e66b248c8d, ad1e7d8e-5114-413f-921d-a35552003ee4, e0bad25d-7fb1-4dd7-a0e8-a11b41dcd281, 2390b2fb-f180-48d3-989d-5e359fdf867c",
1838a5b6-db38-4111-ab13-794b8ecb1129,David Moore,david.moore@example.com,1983-02-14,760 Birch St,Fairview,PA,,
18c46803-1a4a-40b4-bccb-66b9c1149108,James Johnson,james.johnson@example.com,2000-12-09,278 Walnut St,Salem,CA,,
2045e65b-0845-4d48-88f3-19c708a836cf,Michael Davis,michael.davis@example.com,1991-04-24,462 Walnut St,Madison,IL,"dda33b53-0fff-4371-8a45-35a2192e86e8, 2c4e188e-85c2-4366-b282-d70974be0631, 12c5d420-9bbc-455d-9794-7780bc5fea5b",
29468257-12ce-45da-a17c-c69e776c7e69,Emily Moore,emily.moore@example.com,1957-05-31,175 Walnut St,Springfield,CA,,
339c1526-9b86-407a-8b5c-6ed4c7bf7064,Linda Davis,linda.davis@example.com,1971-03-08,506 Walnut St,Greenville,IL,d3d06262-f539-4a05-9e71-6e6113e9529b,378c5576-5c56-4e44-8e49-be6a7401db37
34669942-871e-4c50-a47b-ad8ffa65a4c7,Michael Johnson,michael.johnson@example.com,1978-05-14,352 Walnut St,Riverside,PA,"37979873-7c28-4b44-83ee-438c3e6810e9, 2c4e188e-85c2-4366-b282-d70974be0631, 4fc222e3-9728-408a-b24b-171c919f81ea, 3100982d-c037-4a3f-a3ed-83e66b248c8d, 4ff85e34-9da3-47f2-beee-ec6175d82186",
